id,title,content,card_id
1,쇼핑,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립,1
2,모든가맹점,"전국 가맹점 0.2~2.0% 적립
해외 가맹점 1~5% 적립",1
3,주유,"S-OIL, 에이치디현대오일뱅크 주유 시 리터 당 60원 적립",1
4,금융,"신한투자증권 CMA 결제계좌 0.2% 추가 적립
마이신한포인트 가맹점 추가 적립",1
5,통신,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립,1
6,기타,무이자/영화/테마파크,1
7,적립,포인트 적립상세 및 포인트 사용 안내,1
8,쇼핑,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인",2
9,푸드,"국내 유명 패밀리레스토랑, 커피 20~30% 할인",2
10,주유,GS칼텍스 리터당 60원 할인,2
11,영화/문화,"CGV, YES24 영화 예매시 최대 7,000원 할인",2
12,적립,신한카드 Love포인트 적립 및 사용,2
13,레저/스포츠,주요 놀이공원 30~50% 할인 및 스포츠 할인 서비스,2
14,영화/문화,"프로야구, 프로농구 할인 서비스",2
15,기타,통합할인한도,2
16,쇼핑,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인",3
17,푸드,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인,3
18,영화/문화,"맥스무비, 인터파크 YES24 예매시 1,500원 할인",3
19,주유,S-OIL 주유 시 리터 당 60원 적립,3
20,교육/육아,"베이비 프리미엄 제품 전문쇼핑몰 「쁘띠엘린스토어」
오프라인 매장 15%, 온라인몰 20% 할인",3
21,테마파크,주요 놀이공원 최대 50% 할인,3
22,통신,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)",3
23,레저/스포츠,스포츠 관람 할인 서비스,3
24,주유,전국 SK주유소에서 주유 시 리터당 100원 할인,4
25,교통,"버스, 지하철, 택시 최고 3~7% 할인",4
26,무이자할부,"3대 백화점(롯데,현대,신세계) 3개월 무이자 할부",4
27,테마파크,주요 놀이공원 30~50% 할인,4
28,영화/문화,"맥스무비, 인터파크, YES24 영화 할인",4
29,헤어,헤어 15~20% 할인,4
30,레저/스포츠,"LG트윈스 정규시즌 홈경기 전석 본인 2,000원 할인(일 1회)",4
31,여행/숙박,"신한카드 여행전용사이트, 신한카드 여행서비스",4
32,주유,전국 GS칼텍스 주유 시 리터당 100원 할인,5
33,교통,"버스, 지하철, 택시 최고 7% 할인",5
34,쇼핑,YES24 3% 할인 등 쇼핑할인,5
35,영화/문화,"맥스무비, 인터파크 YES24 예매시 1,500원 할인",5
36,레저/스포츠,주요 놀이공원 최대 50% 할인 및 스포츠 할인 서비스,5
37,여행/숙박,"신한카드 여행전용사이트, 신한카드 여행서비스",5
38,뷰티/피트니스,미용업종 15%~20% 할인 및 기타 할인 및 우대 서비스,5
39,프리미엄,비자 플래티늄 서비스 제공,5
40,선택형,"Cube 선택서비스 - 선택서비스 3개, 5% 할인",6
41,할인,잔돈할인,6
42,적립,"생활 친화 가맹점 포인트 1% 포인트 적립
3개월 연속 이용 추가 포인트 적립",7
43,교통,"버스, 지하철 후불 교통 이용 금액 일 200원 할인",7
44,영화/문화,CGV 영화 예매 최대 4천원 결제일 할인,7
45,카페/디저트,스타벅스 음료 최대 4천원 할인,7
46,테마파크,주요 놀이공원 30~50% 할인,7
47,프리미엄,"신한카드 gallery S 서비스
S& 브랜드 특화 서비스",7
48,선택형,Gift Option Service - 매년 1회 옵션 품목 중 한 가지를 선택하여 이용,8
49,모든가맹점,"일시불/할부 이용금액의 0.7% 마이신한포인트 적립
해외, 명품 아울렛(신세계/롯데), 면세점, 골프 업종 이용 시 5% 마이신한포인트 적립",8
50,주유,GS칼텍스 주유 시 리터당 60원 결제일 할인,8
51,생활,커피/제과/택시/화장품/영화 5% 할인,8
52,면세점,제주 JDC 면세점 이용 시 8% 할인,8
53,항공,진에어 국제선 항공권 결제일 할인,8
54,영화/문화,오디오 가이드 및 오페라 글라스 무료 이용 서비스,8
55,프리미엄,국제브랜드사 서비스 공통사항 안내,8
56,교통,"버스, 지하철 후불 교통 이용 금액 일 200원 ~ 일 600원 할인",10
57,교육/육아,택시/KTX 이용 금액 10% 할인,10
58,쇼핑,4대 백화점 5% 할인,10
59,카페/디저트,커피전문점 10% 할인,10
60,마트/편의점,편의점 5% 할인,10
61,통신,이동통신요금 5% 할인,10
62,영화/문화,"CGV, 메가박스",10
63,캐시백,"전기요금, 통신요금, 해외이용금액 5% 캐시백 제공",10
64,모든가맹점,"전가맹점 0.7% 캐시백
이동통신요금 자동이체 건은 1.4% 캐시백",11
65,생활,생활친화가맹점 잔돈할인 서비스(Coin-Save),11
66,영화/문화,"인터파크, YES24 영화 할인",11
67,항공마일리지,"대한항공 1,500원당 1마일/아시아나항공 1,000원당 1마일",12
68,생활,마이신한포인트 추가 적립,12
69,프리미엄,특급 호텔 발렛파킹/면세점 우대 서비스,12
70,공과금/렌탈,월납요금(공과금) 10% 할인서비스,13
71,마트/편의점,편의점 10% 할인,13
72,병원/약국,병원/약국업종 10% 할인,13
73,생활,세탁소 업종 10% 할인,13
74,쇼핑,온라인 쇼핑 10% 할인,13
75,교통,택시 10% 할인,13
76,푸드,식음료 10% 할인,13
77,마트/편의점,3대 마트 10% 할인,13
78,주유,4대 정유사 리터당 60원 할인,13
79,쇼핑,인테이크몰 20% 할인,13
80,선택형,할인율 선택 서비스,14
81,카페/디저트,"스타벅스, 커피빈",14
82,마트/편의점,"GS25, 세븐일레븐, CU",14
83,소셜커머스,소셜커머스,14
84,교통,택시,14
85,카페/디저트,"파리바게트, 뚜레쥬르",14
86,영화/문화,"CGV, 롯데시네마",14
87,카페/디저트,스타벅스 모바일쿠폰 보너스 리워드,14
88,바우처,Gift Option,15
89,항공,"전 가맹점 일시불/할부 이용금액 1,500원당 1마일 적립",15
90,항공,"전 가맹점 일시불/할부 이용금액 1,000원당 1마일",15
91,주유,GS칼텍스 주유 시 리터당 40원 결제일 할인,15
92,공항라운지/PP,Priority Pass 카드 제공,15
93,면세점,제주 JDC 면세점 8% 결제일 할인,15
