id,name,brand,image_url,annual_fee1,annual_fee2,record,type,,
1,신한카드 Hi-Point,신한카드,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,8000,0,0,VISA,,
2,신한카드 Love,신한카드,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png,8000,0,20,VISA,,
3,신한카드 Lady,신한카드,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png,5000,0,30,VISA,,
4,SK에너지 신한카드The you,신한카드,https://api.card-gorilla.com:8080/storage/card/4/card_img/20086/4card.png,7000,12000,30,VISA,,
5,GS칼텍스 신한카드Dream 100,신한카드,https://api.card-gorilla.com:8080/storage/card/5/card_img/20087/5card.png,7000,12000,30,VISA,,
6,신한카드 Cube,신한카드,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png,10000,13000,30,VISA,,
7,신한카드 23.5°,신한카드,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png,10000,14000,0,VISA,,
8,신한카드 The CLASSIC-Y,신한카드,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png,100000,0,0,VISA,,
10,신한카드 B.Big(삑),신한카드,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png,10000,0,30,VISA,,
11,신한카드 Simple+,신한카드,https://api.card-gorilla.com:8080/storage/card/11/card_img/32203/11card.png,10000,0,0,VISA,,
12,신한카드 Air Platinum#,신한카드,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png,37000,0,0,VISA,,
13,신한카드 Mr.Life,신한카드,https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,15000,0,30,VISA,,
14,신한카드 YOLO ⓘ,신한카드,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png,15000,18000,30,VISA,,
15,신한카드 The CLASSIC+,신한카드,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png,120000,0,30,AMEX,,
16,신한카드 RPM+ Platinum#,신한카드,https://api.card-gorilla.com:8080/storage/card/16/card_img/28929/16card.png,32000,0,50,VISA,,
17,신한카드 YOLO Tasty,신한카드,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png,10000,0,30,VISA,,
18,신한카드 Shopping,신한카드,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png,20000,0,50,VISA,,
19,신한카드 O2O,신한카드,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png,10000,0,50,Mastercard,,
21,신한카드 Simple Platinum#,신한카드,https://api.card-gorilla.com:8080/storage/card/21/card_img/32302/21card.png,27000,0,0,VISA,,
22,카카오페이 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png,12000,15000,30,Mastercard,,
24,EDIYA 신한카드 Tasty,신한카드,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png,10000,0,30,Mastercard,,
25,신한카드 Noon,신한카드,https://api.card-gorilla.com:8080/storage/card/25/card_img/20107/25card.png,8000,0,50,Mastercard,,
26,신한카드 Edu,신한카드,https://api.card-gorilla.com:8080/storage/card/26/card_img/20108/26card.png,20000,0,50,Mastercard,,
27,아시아나 신한카드 Air 1.5,신한카드,https://api.card-gorilla.com:8080/storage/card/27/card_img/25865/27card.png,43000,45000,50,Mastercard,,
28,신세계 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/28/card_img/20110/28card.png,12000,0,50,Mastercard,,
29,TLX PASS 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/29/card_img/20111/29card.png,15000,0,30,VISA,,
30,모바일 Tmoney 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/30/card_img/20112/30card.png,10000,0,30,VISA,,
31,신한카드 All Pass,신한카드,https://api.card-gorilla.com:8080/storage/card/31/card_img/20113/31card.png,10000,0,30,VISA,,
32,신한카드 Deep Dream,신한카드,https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,8000,0,0,VISA,,
33,신한카드 The CLASSIC-L,신한카드,https://api.card-gorilla.com:8080/storage/card/33/card_img/20115/33card.png,100000,0,0,Mastercard,,
35,GS칼텍스 신한카드 Shine,신한카드,https://api.card-gorilla.com:8080/storage/card/35/card_img/20117/35card.png,7000,0,20,VISA,,
36,신한카드 Cube Platinum#,신한카드,https://api.card-gorilla.com:8080/storage/card/36/card_img/23899/36card.png,32000,0,30,VISA,,
37,신한카드 The BEST-F,신한카드,https://api.card-gorilla.com:8080/storage/card/37/card_img/20118/37card.png,202000,0,0,VISA,,
38,신한카드 Lesson Platinum#,신한카드,https://api.card-gorilla.com:8080/storage/card/38/card_img/20119/38card.jpg,27000,0,30,AMEX,,
39,신한카드 Deep Oil,신한카드,https://api.card-gorilla.com:8080/storage/card/39/card_img/31864/39card.png,10000,0,30,Mastercard,,
40,신한카드 Deep Dream Platinum+,신한카드,https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,30000,0,0,VISA,,
41,신한카드 Deep On Platinum+,신한카드,https://api.card-gorilla.com:8080/storage/card/41/card_img/20122/41card.png,30000,0,30,Mastercard,,
42,SOCAR 제휴 SOCAR 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,13000,0,30,VISA,,
43,신한카드 Deep Store,신한카드,https://api.card-gorilla.com:8080/storage/card/43/card_img/20124/43card.png,13000,0,30,Mastercard,,
44,위메프페이 신한카드,신한카드,https://api.card-gorilla.com:8080/storage/card/44/card_img/20125/44card.png,12000,0,0,Mastercard,,
45,American Express Blue,삼성카드,https://api.card-gorilla.com:8080/storage/card/45/card_img/27703/45card.png,15000,0,30,AMEX,,
46,삼성카앤모아카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/46/card_img/27704/46card.png,8000,10000,30,Mastercard,,
47,삼성카드4,삼성카드,https://api.card-gorilla.com:8080/storage/card/47/card_img/20128/47card.png,5000,10000,10,AMEX,,
48,국민행복 삼성카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/48/card_img/20129/48card.png,0,0,0,Mastercard,,
50,아시아나 삼성지엔미플래티늄카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/50/card_img/27706/50card.png,20000,0,30,Mastercard,,
51,삼성카드 taptap O,삼성카드,https://api.card-gorilla.com:8080/storage/card/51/card_img/27707/51card.png,10000,10000,30,Mastercard,,
52,삼성카드 taptap S,삼성카드,https://api.card-gorilla.com:8080/storage/card/52/card_img/27708/52card.png,10000,10000,50,Mastercard,,
53,아시아나 삼성애니패스플래티늄카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/53/card_img/27709/53card.png,20000,0,30,Mastercard,,
54,삼성카드 스페셜마일리지 (스카이패스),삼성카드,https://api.card-gorilla.com:8080/storage/card/54/card_img/20135/54card.png,97000,99000,0,AMEX,,
55,CU·배달의민족 삼성카드 taptap,삼성카드,https://api.card-gorilla.com:8080/storage/card/55/card_img/27710/55card.png,10000,10000,30,Mastercard,,
56,삼성카드 지엔미+,삼성카드,https://api.card-gorilla.com:8080/storage/card/56/card_img/28050/56card.png,49000,0,50,Mastercard,,
57,삼성카드 애니패스+,삼성카드,https://api.card-gorilla.com:8080/storage/card/57/card_img/28051/57card.png,49000,0,50,Mastercard,,
58,카라이프 삼성카드 DISCOUNT+,삼성카드,https://api.card-gorilla.com:8080/storage/card/58/card_img/28052/58card.png,49000,49000,50,Mastercard,,
59,삼성카드 taptap I,삼성카드,https://api.card-gorilla.com:8080/storage/card/59/card_img/27711/59card.png,49000,49000,50,Mastercard,,
60,American Express Green,삼성카드,https://api.card-gorilla.com:8080/storage/card/60/card_img/27712/60card.png,49000,0,50,AMEX,,
61,스카이패스 삼성아멕스카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/61/card_img/28053/61card.png,20000,0,0,AMEX,,
62,글로벌쇼핑 삼성카드 5v2,삼성카드,https://api.card-gorilla.com:8080/storage/card/62/card_img/28103/62card.png,18000,0,0,Mastercard,,
63,삼성페이 삼성카드 taptap,삼성카드,https://api.card-gorilla.com:8080/storage/card/63/card_img/28054/63card.png,10000,10000,30,Mastercard,,
64,신세계이마트 삼성카드7,삼성카드,https://api.card-gorilla.com:8080/storage/card/64/card_img/27713/64card.png,18000,20000,30,Mastercard,,
65,삼성카드 2V3(아지냥이 Edition),삼성카드,https://api.card-gorilla.com:8080/storage/card/65/card_img/20147/65card.png,20000,0,30,VISA,,
66,삼성카드 6V3,삼성카드,https://api.card-gorilla.com:8080/storage/card/66/card_img/20148/66card.png,20000,0,30,Mastercard,,
67,삼성카드 3V3(GS칼텍스),삼성카드,https://api.card-gorilla.com:8080/storage/card/67/card_img/20149/67card.png,20000,0,30,Mastercard,,
68,삼성카드 3V3(SK에너지),삼성카드,https://api.card-gorilla.com:8080/storage/card/68/card_img/20150/68card.png,20000,0,30,Mastercard,,
69,삼성카드 4V3(포인트),삼성카드,https://api.card-gorilla.com:8080/storage/card/69/card_img/20151/69card.png,20000,0,0,Mastercard,,
70,삼성카드 5V3,삼성카드,https://api.card-gorilla.com:8080/storage/card/70/card_img/20152/70card.png,20000,0,30,VISA,,
71,삼성카드 4V3,삼성카드,https://api.card-gorilla.com:8080/storage/card/71/card_img/20153/71card.png,20000,0,30,Mastercard,,
72,트레이더스신세계 삼성카드,삼성카드,https://api.card-gorilla.com:8080/storage/card/72/card_img/27714/72card.png,15000,15000,40,Mastercard,,
73,카드의정석 NEW우리V카드,우리카드,https://api.card-gorilla.com:8080/storage/card/73/card_img/20155/73card.png,2000,5000,30,VISA,,
74,All For Me카드,우리카드,https://api.card-gorilla.com:8080/storage/card/74/card_img/20156/74card.png,10000,0,30,VISA,,
75,KT 카드의정석 Super DC,우리카드,https://api.card-gorilla.com:8080/storage/card/75/card_img/20157/75card.png,20000,25000,30,VISA,,
76,LGU+ 카드의정석 장기할부,우리카드,https://api.card-gorilla.com:8080/storage/card/76/card_img/20158/76card.png,15000,20000,30,VISA,,
77,위비멤버스카드,우리카드,https://api.card-gorilla.com:8080/storage/card/77/card_img/20159/77card.png,10000,12000,30,BC,,
78,블루다이아몬드Ⅱ 카드,우리카드,https://api.card-gorilla.com:8080/storage/card/78/card_img/20160/78card.png,95000,100000,30,BC,,
79,그랑블루Ⅱ카드,우리카드,https://api.card-gorilla.com:8080/storage/card/79/card_img/20161/79card.png,100000,0,30,VISA,,
80,썸(SUM) 페이 카드,우리카드,https://api.card-gorilla.com:8080/storage/card/80/card_img/20162/80card.png,10000,0,30,Mastercard,,
81,위메프 우리카드,우리카드,https://api.card-gorilla.com:8080/storage/card/81/card_img/20163/81card.png,10000,12000,30,BC,,
82,우리 XGOLF 카드,우리카드,https://api.card-gorilla.com:8080/storage/card/82/card_img/20164/82card.png,13000,15000,30,BC,,
83,ONLY 나만의카드,우리카드,https://api.card-gorilla.com:8080/storage/card/83/card_img/20165/83card.png,13000,15000,30,BC,,
84,카드의정석 POINT,우리카드,https://api.card-gorilla.com:8080/storage/card/84/card_img/20166/84card.png,10000,12000,30,VISA,,
85,카드의정석 SHOPPING,우리카드,https://api.card-gorilla.com:8080/storage/card/85/card_img/20167/85card.png,10000,12000,30,VISA,,
